,markername,incre_new,Coordinate_Value,Primary_Bin,Chromosome,meanQTL_ID,vQTL_ID
741,IDP3872,1531.82,390.74,2.06,2,q10,q9
742,umc1108,1542.58,401.5,2.06,2,q10,q9
743,IDP616,1546.98,405.9,2.07,2,q10,q9
744,gpm788b,1548.11,407.03,2.1,2,q10,q9
745,AI861369,1548.48,407.4,2.07,2,q10,q9
746,gpm662a,1548.49,407.4,2.07,2,q10,q9
747,bcd926b,1550.39,409.3,2.07,2,q10,q9
748,php20005,1552.49,411.4,2.07,2,q10,q9
749,umc2129,1555.19,414.1,2.07,2,q10,q9
750,mmp177b,1557.69,416.6,2.07,2,,q9
751,gpm788c,1559.42,418.33,2.07,2,,q9
752,gpm360a,1565.48,424.39,2.07,2,,q9
753,gpm307b,1566.71,425.62,2.07,2,,q9
754,gpm566c,1568.03,426.94,2.07,2,,q9
755,gpm617,1568.13,427.04,2.07,2,,
756,AY110410,1568.99,427.9,2.07,2,,
757,gpm59c,1569.53,428.44,2.07,2,,
758,gpm622c,1569.83,428.74,2.07,2,,
759,gpm89b,1570.22,429.13,2.07,2,,
760,gpm230,1570.8,429.71,2.07,2,,
761,IDP1679,1574.85,433.76,2.07,2,,
762,nfc104b,1576.91,435.82,2.07,2,,
763,gpm565a,1580.61,439.52,2.07,2,,
764,gpm409a,1581.07,439.98,2.07,2,,
765,nfd101b,1581.78,440.69,2.07,2,,
766,gpm178a,1586.46,445.37,2.07,2,,
767,AY109917,1593.29,452.2,2.07,2,,
768,IDP456,1593.67,452.58,2.07,2,,
769,gpm507,1596.5,455.41,2.07,2,,
770,IDP309,1597.04,455.95,2.07,2,,
771,bnlg1633,1597.3,456.21,2.07,2,,
772,IDP3824,1599.45,458.36,2.07,2,,
773,IDP364,1601.85,460.76,2.07,2,,
774,AY109722,1602.79,461.7,2.07,2,,
775,IDP1657,1604.48,463.39,2.07,2,,
776,umc36b,1613.99,472.9,2.07,2,,
777,chr119,1615.49,474.4,2.07,2,,
778,bnlg2077,1615.89,474.8,2.07,2,,
779,psr135b,1618.99,477.9,2.07,2,,
780,IDP3864,1619.23,478.14,2.07,2,,
781,gpm830a,1619.28,478.19,2.07,2,,
782,sdg116b,1619.36,478.27,2.07,2,,
783,asg20,1619.79,478.7,2.08,2,,
784,gpm609b,1619.88,478.79,2.08,2,,
785,gpm576a,1619.89,478.8,2.08,2,,
786,IDP660,1620.62,479.53,2.08,2,,
787,umc1049,1621.79,480.7,2.08,2,,
788,IDP485,1623.1,482.01,2.08,2,,
789,bcd808c,1637.19,496.1,2.08,2,,
790,gpm613,1639.04,497.95,2.08,2,,
791,mmp84,1639.39,498.3,2.08,2,,q11
792,IDP3963,1644.93,503.84,2.08,2,,q11
793,IDP2477,1646.38,505.29,2.08,2,,q11
794,IDP3918,1647.97,506.88,2.08,2,,q11
795,AY109583,1648.49,507.4,2.08,2,,q11
796,bnlg1233,1650.29,509.2,2.08,2,,q11
797,umc137a,1650.69,509.6,2.08,2,,q11
798,chr122,1653.69,512.6,2.08,2,,q11
799,AI668346,1656.89,515.8,2.08,2,,q11
800,gpm683c,1662.95,521.86,2.08,2,,q11
801,IDP204,1667.72,526.63,2.08,2,,q11
802,IDP136,1667.73,526.63,2.08,2,,q11
803,hag104,1668,526.9,2.08,2,,q11
804,bnlg1316,1670.3,529.2,2.08,2,,q11
805,bnl6.20,1670.9,529.8,2.08,2,,q11
806,gpm380,1675.48,534.38,2.08,2,,q11
807,gpm756c,1677.15,536.05,2.08,2,,q11
808,npi210,1677.6,536.5,2.08,2,,q11
809,chc101b,1678.01,536.91,2.08,2,q11,q11
810,mmp137,1678.2,537.1,2.08,2,q11,q11
811,AY109645,1679.9,538.8,2.08,2,q11,q11
812,IDP633,1682.57,541.47,2.08,2,q11,q11
813,IDP157,1683.32,542.22,2.08,2,q11,q11
814,IDP785,1685.32,544.22,2.08,2,q11,q11
815,umc2085,1685.5,544.4,2.08,2,q11,q11
816,IDP1674,1687.81,546.71,2.08,2,q11,q11
817,npi113b,1689.2,548.1,2.08,2,q11,q11
818,npi298a,1689.4,548.3,2.08,2,q11,q11
819,umc1633,1689.6,548.5,2.08,2,q11,q11
820,AY109575,1693.8,552.7,2.08,2,q11,q11
821,IDP469,1694.36,553.26,2.08,2,q11,q11
822,IDP176,1702.94,561.84,2.08,2,,
823,mmp34,1703.6,562.5,2.08,2,,
